taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
756982	1	Orbilia oligospora ATCC 24927	strain	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia oligospora
759272	1	Chaetomium thermophilum var. thermophilum DSM 1495	strain	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium thermophilum
759273	1	Colletotrichum higginsianum IMI 349063	strain	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum higginsianum
763406	1	Pichia membranifaciens NRRL Y-2026	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia membranifaciens
763407	1	Phycomyces blakesleeanus NRRL 1555(-)	strain	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Phycomycetaceae	Phycomyces	Phycomyces blakesleeanus
764103	1	Mixia osmundae IAM 14324	strain	Eukaryota	Basidiomycota	Mixiomycetes	Mixiales	Mixiaceae	Mixia	Mixia osmundae
76775	1	Malassezia restricta	species	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia restricta
77020	1	Malassezia pachydermatis	species	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia pachydermatis
771870	1	Sordaria macrospora k-hell	strain	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria macrospora
796027	1	Sugiyamaella lignohabitans	species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Sugiyamaella	Sugiyamaella lignohabitans
83186	1	Diaporthe citri	species	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe citri
84753	1	Moesziomyces antarcticus	species	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Moesziomyces	Moesziomyces antarcticus
856822	1	Fonsecaea nubica	species	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea nubica
857342	1	Amorphotheca resinae ATCC 22711	strain	Eukaryota	Ascomycota	Leotiomycetes		Myxotrichaceae	Amorphotheca	Amorphotheca resinae
858893	1	Exophiala dermatitidis NIH/UT8656	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala dermatitidis
869754	1	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia bicuspidata
870730	1	Ogataea angusta	species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Ogataea angusta
871575	1	Ogataea parapolymorpha DL-1	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Ogataea parapolymorpha
87229	1	Botrytis porri	species	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis porri
876142	1	Encephalitozoon intestinalis ATCC 50506	strain	Eukaryota	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon intestinalis
879819	1	Cutaneotrichosporon oleaginosum	species	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon oleaginosum
881290	1	Nematocida parisii ERTm1	strain	Eukaryota	Microsporidia				Nematocida	Nematocida parisii
907965	1	Encephalitozoon hellem ATCC 50504	strain	Eukaryota	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon hellem
91492	1	Aspergillus udagawae	species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus udagawae
91928	1	Exophiala spinifera	species	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala spinifera
930089	1	Bipolaris zeicola 26-R-13	strain	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris zeicola
930090	1	Bipolaris oryzae ATCC 44560	strain	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris oryzae
930091	1	Bipolaris victoriae FI3	strain	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris victoriae
931890	1	Eremothecium cymbalariae DBVPG#7215	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium cymbalariae
936046	1	Agaricus bisporus var. bisporus H97	strain	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
948595	1	Vavraia culicis subsp. floridensis	subspecies	Eukaryota	Microsporidia			Pleistophoridae	Vavraia	Vavraia culicis
983644	1	Cordyceps militaris CM01	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps militaris
983964	1	Trichoderma harzianum CBS 226.95	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma harzianum
983966	1	Cyberlindnera jadinii NRRL Y-1542	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera jadinii
98403	1	Drechmeria coniospora	species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Drechmeria	Drechmeria coniospora
984485	1	Hyphopichia burtonii NRRL Y-1933	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia	Hyphopichia burtonii
984486	1	Babjeviella inositovora NRRL Y-12698	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Babjeviella	Babjeviella inositovora
984487	1	Suhomyces tanzawaensis NRRL Y-17324	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Suhomyces	Suhomyces tanzawaensis
985895	1	Leptosphaeria maculans JN3	strain	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria maculans
993615	1	Vittaforma corneae ATCC 50505	strain	Eukaryota	Microsporidia			Nosematidae	Vittaforma	Vittaforma corneae
