taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
1580580	1	Agrotis segetum nucleopolyhedrovirus B	species	Viruses		Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Agrotis segetum nucleopolyhedrovirus B
1580591	1	Sulfolobus monocaudavirus SMV2	species	Viruses				Bicaudaviridae		Sulfolobus monocaudavirus SMV2
1580605	1	Phomopsis vexans RNA virus	species	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Phomopsis vexans RNA virus
1580606	1	Alternaria brassicicola betaendornavirus 1	species	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	Betaendornavirus	Alternaria brassicicola betaendornavirus 1
1580607	1	Magnaporthe oryzae RNA virus	species	Viruses						Magnaporthe oryzae RNA virus
1581151	1	Slow loris parvovirus 1	species	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae		Slow loris parvovirus 1
1582094	1	Cosavirus JMY-2014	species	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Cosavirus JMY-2014
1582150	1	Clostridium phage phiCD111	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Leicestervirus	Clostridioides virus phiCD111
1582151	1	Clostridium phage phiCD146	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Leicestervirus	Clostridioides virus phiCD146
1582152	1	Clostridium phage phiCD211	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Clostridium phage phiCD211
1582153	1	Clostridium phage phiCD481-1	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Sherbrookevirus	Clostridioides virus phiCD481-1
1582154	1	Clostridium phage phiCD505	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Colneyvirus	Clostridioides virus phiCD505
1582155	1	Clostridium phage phiCD506	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Sherbrookevirus	Clostridioides virus phiCD506
1582156	1	Clostridium phage phiMMP01	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Yongloolinvirus	Clostridioides virus phiMMP01
1582157	1	Clostridium phage phiMMP03	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Yongloolinvirus	Clostridioides virus phiMMP03
158372	1	Penicillium chrysogenum virus	species	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Penicillium chrysogenum virus
158463	1	Tomato severe rugose virus	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Tomato severe rugose virus
1585246	1	Diachasmimorpha longicaudata rhabdovirus	species	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae		Diachasmimorpha longicaudata rhabdovirus
1585840	1	Ralstonia phage RSL2	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Chiangmaivirus	Ralstonia virus RSL2
1585924	1	Arhar cryptic virus-I	species	Viruses						Arhar cryptic virus-I
1586712	1	Yellowstone lake mimivirus	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Yellowstone lake mimivirus
1586713	1	Yellowstone lake phycodnavirus 1	species	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Yellowstone lake phycodnavirus 1
1586714	1	Yellowstone lake phycodnavirus 2	species	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Yellowstone lake phycodnavirus 2
1586715	1	Yellowstone lake phycodnavirus 3	species	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Yellowstone lake phycodnavirus 3
158683	1	Diadromus pulchellus ascovirus 4a	no rank	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Toursvirus	Diadromus pulchellus toursvirus
158684	1	Trichoplusia ni ascovirus 2a	species	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Ascovirus	Trichoplusia ni ascovirus 2a
1587509	1	Persea americana chrysovirus	species	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Persea americana chrysovirus
1587515	1	Black grass varicosavirus-like virus	species	Viruses						Black grass varicosavirus-like virus
1587517	1	Black grass cryptic virus 2	species	Viruses						Black grass cryptic virus 2
1587520	1	Enterobacter phage phiEap-1	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Eapunavirus	Enterobacter virus Eap1
