taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
10847	5	Escherichia virus phiX174	species	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Sinsheimervirus	Escherichia virus phiX174
10863	5	Enterobacteria phage f1	no rank	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Inovirus	Escherichia virus M13
10897	5	African horse sickness virus 9	no rank	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	African horse sickness virus
10927	5	Bovine rotavirus	no rank	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Rotavirus	Rotavirus A
10941	5	Human rotavirus A	no rank	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Rotavirus	Rotavirus A
10943	5	Human rotavirus C	no rank	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Rotavirus	Rotavirus C
10967	5	Porcine rotavirus A	no rank	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Rotavirus	Rotavirus A
11002	5	Infectious pancreatic necrosis virus	species	Viruses				Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus
11036	5	Venezuelan equine encephalitis virus	species	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Venezuelan equine encephalitis virus
11096	5	Classical swine fever virus	no rank	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus C
11099	5	Bovine viral diarrhea virus 1	no rank	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus A
11103	5	Hepacivirus C	species	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus C
112596	5	Wolbachia phage WO	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae		Wolbachia phage WO
11292	5	Rabies lyssavirus	species	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Lyssavirus	Rabies lyssavirus
11676	5	Human immunodeficiency virus 1	species	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1
11709	5	Human immunodeficiency virus 2	species	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 2
117204	5	African horse sickness virus 3	no rank	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	African horse sickness virus
11723	5	Simian immunodeficiency virus	species	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus
1175849	5	Gammapapillomavirus 7	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 7
1175850	5	Gammapapillomavirus 8	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 8
1175851	5	Gammapapillomavirus 9	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 9
11908	5	Human T-cell leukemia virus type I	no rank	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Deltaretrovirus	Primate T-lymphotropic virus 1
11909	5	Human T-lymphotropic virus 2	no rank	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Deltaretrovirus	Primate T-lymphotropic virus 2
1194757	5	Canine circovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Canine circovirus
12022	5	Escherichia phage MS2	no rank	Viruses	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	Levivirus	Escherichia virus MS2
1204527	5	Salmonella phage SBA-1781	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Felixounavirus	Salmonella phage SBA-1781
1214906	5	unidentified virus	species	Viruses						unidentified virus
121791	5	Nipah henipavirus	species	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Henipavirus	Nipah henipavirus
12211	5	Plum pox virus	species	Viruses	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Plum pox virus
12305	5	Cucumber mosaic virus	species	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Bromoviridae	Cucumovirus	Cucumber mosaic virus
12475	5	Hepatitis delta virus	species	Viruses				Kolmioviridae	Deltavirus	Hepatitis delta virus
1249501	5	Pig stool associated circular ssDNA virus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cremevirales	Smacoviridae	Drosmacovirus	Pig stool associated circular ssDNA virus
12585	5	Banana bunchy top virus	species	Viruses	Cressdnaviricota	Arfiviricetes	Mulpavirales	Nanoviridae	Babuvirus	Banana bunchy top virus
126070	5	Columbid circovirus	no rank	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Pigeon circovirus
12721	5	Human immunodeficiency virus	species	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus
1278402	5	Cyanophage S-RIM12	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Brizovirus	Cyanophage S-RIM12
1278423	5	Cyanophage S-RIM14	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Ahtivirus	Cyanophage S-RIM14
1278485	5	Cyanophage S-RIM44	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Vellamovirus	Synechococcus virus SRIM44
129951	5	Human mastadenovirus C	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C
130308	5	Human mastadenovirus E	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus E
130309	5	Human mastadenovirus F	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F
130310	5	Human mastadenovirus D	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D
130329	5	Duck adenovirus 1	serotype	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Duck atadenovirus A
130663	5	Fowl aviadenovirus 4	serotype	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus C
1329650	5	Bat circovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Bat circovirus
133704	5	Porcine circovirus 1	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Porcine circovirus 1
136084	5	Roseobacter virus SIO1	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Zobellviridae	Siovirus	Roseobacter virus SIO1
1385658	5	Marine gokushovirus	species	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae		Marine gokushovirus
1407671	5	uncultured Mediterranean phage uvMED	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		uncultured Mediterranean phage uvMED
1414603	5	Pigeon circovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Pigeon circovirus
141904	5	Vibrio virus CTXphi	species	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Affertcholeramvirus	Vibrio virus CTXphi
1437064	5	FTLS virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	SFTS phlebovirus
146032	5	Goose circovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Goose circovirus
1475143	5	Mink circovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Mink circovirus
1477405	5	Faustovirus	species	Viruses						Faustovirus
1489714	5	Tanay virus	species	Viruses						Tanay virus
1493507	5	Synechococcus phage ACG-2014a	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Acionnavirus	Synechococcus phage ACG-2014a
1493508	5	Synechococcus phage ACG-2014b	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Nereusvirus	Synechococcus virus ACG2014bSyn7803C61
1493509	5	Synechococcus phage ACG-2014d	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae		Synechococcus phage ACG-2014d
1493511	5	Synechococcus phage ACG-2014f	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Atlauavirus	Synechococcus virus AC2014fSyn7803C8
1506546	5	Porcine circovirus-like virus P1	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Porcine circovirus-like virus P1
1513257	5	Gammapapillomavirus 12	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 12
1513260	5	Gammapapillomavirus 15	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 15
1513264	5	Gammapapillomavirus 19	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 19
1521028	5	Human adenovirus 21a	no rank	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B
1595998	5	Human smacovirus 1	species	Viruses	Cressdnaviricota	Arfiviricetes	Cremevirales	Smacoviridae	Huchismacovirus	Human smacovirus 1
160691	5	Tiger frog virus	no rank	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Ranavirus	Frog virus 3
1609634	5	Eel River basin pequenovirus	species	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae		Eel River basin pequenovirus
162145	5	Human metapneumovirus	species	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	Metapneumovirus	Human metapneumovirus
1642515	5	Zebra finch circovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Zebra finch circovirus
1678143	5	Orthohepevirus A	species	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Orthohepevirus	Orthohepevirus A
1758150	5	Gokushovirus WZ-2015a	species	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae		Gokushovirus WZ-2015a
180170	5	Infectious spleen and kidney necrosis virus	species	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Megalocytivirus	Infectious spleen and kidney necrosis virus
186617	5	uncultured marine virus	species	Viruses						uncultured marine virus
186805	5	Goatpox virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Goatpox virus
1868221	5	Porcine circovirus 3	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Porcine circovirus 3
1868660	5	uncultured Mediterranean phage	species	Viruses						uncultured Mediterranean phage
1885248	5	Variegated squirrel bornavirus 1	no rank	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Bornaviridae	Orthobornavirus	Mammalian 2 orthobornavirus
190061	5	Fowl aviadenovirus A	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus A
190063	5	Fowl aviadenovirus C	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus C
190064	5	Fowl aviadenovirus D	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus D
190065	5	Fowl aviadenovirus E	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus E
1907210	5	Human adenovirus sp.	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human adenovirus sp.
1930507	5	Basavirus sp.	species	Viruses						Basavirus sp.
1930508	5	Rasavirus sp.	species	Viruses						Rasavirus sp.
1930510	5	Posavirus sp.	species	Viruses						Posavirus sp.
1932006	5	Chicken associated smacovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cremevirales	Smacoviridae	Huchismacovirus	Chicken associated smacovirus
1954248	5	Circoviridae sp.	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae		Circoviridae sp.
1955153	5	Picornavirales sp.	species	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales			Picornavirales sp.
1961679	5	Gammapapillomavirus 22	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 22
1961681	5	Gammapapillomavirus 24	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 24
1964372	5	Circovirus sp.	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Circovirus sp.
197780	5	Bluetongue virus 8	no rank	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Bluetongue virus
1983771	5	Gemycircularvirus sp.	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus sp.
1986031	5	Human gut gokushovirus	species	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae		Human gut gokushovirus
2006585	5	Duck associated cyclovirus 1	species	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Cyclovirus	Duck associated cyclovirus 1
2010272	5	Culex mononega-like virus 2	species	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales			Culex mononega-like virus 2
2016460	5	Giant panda anellovirus	species	Viruses				Anelloviridae		Giant panda anellovirus
2016461	5	Giant panda associated gemycircularvirus	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Giant panda associated gemycircularvirus
2021738	5	Hudisavirus sp.	species	Viruses						Hudisavirus sp.
2049444	5	Gammapapillomavirus sp.	species	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus sp.
2055263	5	Anelloviridae sp.	species	Viruses				Anelloviridae		Anelloviridae sp.
2083001	5	Saltwater crocodilepox virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Crocodylidpoxvirus	Saltwater crocodilepox virus
208895	5	Human respiratory syncytial virus B	no rank	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	Orthopneumovirus	Human orthopneumovirus
2100421	5	uncultured Caudovirales phage	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales			uncultured Caudovirales phage
212035	5	Acanthamoeba polyphaga mimivirus	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Mimivirus	Acanthamoeba polyphaga mimivirus
2170413	5	Siphoviridae sp.	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Siphoviridae sp.
2200830	5	Akhmeta virus	species	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Akhmeta virus
2202563	5	CRESS virus sp.	species	Viruses	Cressdnaviricota					CRESS virus sp.
2202564	5	Myoviridae sp.	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae		Myoviridae sp.
2202565	5	Genomoviridae sp.	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae		Genomoviridae sp.
2202566	5	Geminiviridae sp.	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae		Geminiviridae sp.
2202568	5	Caudovirales sp.	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales			Caudovirales sp.
2202644	5	Microviridae sp.	species	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae		Microviridae sp.
2202649	5	Virus sp.	species	Viruses						Virus sp.
2202954	5	Circular genetic element sp.	species	Viruses						Circular genetic element sp.
